"navigation_key";"parent_navigation_key";"navigation_name"
"l2:8ae11fef3e69897a6cabaa3c6f390ccb";"l1:8a58b85a82fb4532ba52344aee8ecb43";"Tischtextilien"
"l2:77721a6a3085fcdd9847674cba8ba486";"l1:8a58b85a82fb4532ba52344aee8ecb43";"Wohntextilien"
"l2:98f2eee38bc864478dcd3aae3e1518d6";"l1:141d84e0bdb354319ba49509053c27e3";"Lebensmittel & Feinkost"
"l2:3eb86d3d8a84e6e429d0f36884c16221";"l1:5296a6a28833397cea7c977f2df09976";"Bücher & Hörbücher"
"l2:b43ba8b80b3d3df7064a42a74e28af87";"l1:5296a6a28833397cea7c977f2df09976";"Medien"
"l2:79797d46e62a38e386c48a9f8810525e";"l1:5296a6a28833397cea7c977f2df09976";"Musikmedien"
"l2:beb21372b447626c0b1bb46e2dbdbd76";"l1:9247a68fe465d64c00f97220bc9f24e3";"Badezimmer"
"l2:7ed25a635a3ffc7c70885fa451cfbe07";"l1:9247a68fe465d64c00f97220bc9f24e3";"Büro"
"l2:ac83a6fd9296b23b209393edb75e4e3d";"l1:9247a68fe465d64c00f97220bc9f24e3";"Esszimmer"
"l2:6f0a0693e68a1338f3b096265bb9e611";"l1:9247a68fe465d64c00f97220bc9f24e3";"Flur & Garderobe"
"l2:86cd12ee6da30c1a496d43327e0a6140";"l1:9247a68fe465d64c00f97220bc9f24e3";"Garten & Balkon"
"l2:723db37aa6c72bf716e2a69fda165f91";"l1:9247a68fe465d64c00f97220bc9f24e3";"Kinderzimmer"
"l2:a82247d7c744562776ae8e3ef09ed244";"l1:9247a68fe465d64c00f97220bc9f24e3";"Küche"
"l2:55bacd504c8dba26127b5c4e2a4cab39";"l1:9247a68fe465d64c00f97220bc9f24e3";"Mehrere Räume"
"l2:0ca8bf949a1f1593acf13847ce266012";"l1:9247a68fe465d64c00f97220bc9f24e3";"Schlafzimmer"
"l2:41c96fcd1a5380dde2636378b562d565";"l1:9247a68fe465d64c00f97220bc9f24e3";"Wohnzimmer"
"l2:0362b3348cac7db578dfd4fb8aac6546";"l1:4b914c406d3e4277f7f96472c4dedf05";"Bekleidung"
"l2:9d880ae125f28e8985f7c528418fec22";"l1:4b914c406d3e4277f7f96472c4dedf05";"Schmuck & Uhren"
"l2:48f5922a8ff890dab412c948cfd8f1f3";"l1:4b914c406d3e4277f7f96472c4dedf05";"Schuhe & Schuhmode"
"l2:5173edc4faebaec2d4bb224716182451";"l1:4b914c406d3e4277f7f96472c4dedf05";"Taschen & Accessoires"
"l2:cae095a0b7807c477204058cfd04348b";"l1:4b914c406d3e4277f7f96472c4dedf05";"Wäsche & Bademode"
"l2:f5dda07456ad5772d4958dd560d11e15";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Blas- & Orchesterinstrumente"
"l2:738498909870f126489f36ede4a9ac4e";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Gitarren & Saiteninstrumente"
"l2:041600fc8cb70a30fe57a1e3841a2eb6";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Instrumentenzubehör"
"l2:887429b95e41c2bd33569f3e66fafb58";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Keyboards & Tasteninstrumente"
"l2:6999f609b18382defb4cfab61fafa67a";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Schlagzeug & Percussion"
"l2:78fb67d5b6a6851fe05deebe801e992a";"l1:eedf42b1a383946fb5c3d2e12a44d22e";"Studio & Recording"
"l2:06b4d5d5c558a8a95b10fa69d3809ec2";"l1:e4f5181273a46a8e6bcb228bce86d48c";"Koffer & Reisegepäck"
"l2:37c4941790a3b15d08cfaaf2a9f01189";"l1:ccdc08fe15cb32b2db2a76145577c315";"Fahrzeuge & Rennbahnen"
"l2:19381e2d33c742f3226123a473617c74";"l1:ccdc08fe15cb32b2db2a76145577c315";"Hobby & Sammeln"
"l2:83bec6360aa3a1a2ddfee655b2f92349";"l1:ccdc08fe15cb32b2db2a76145577c315";"Kleinkindspielzeug"
"l2:05579f3554a3c6b8ea3a64a83ee1c924";"l1:ccdc08fe15cb32b2db2a76145577c315";"Kreativ & Basteln"
"l2:bbecd12a200f2a1bbb835b532f5b3d94";"l1:ccdc08fe15cb32b2db2a76145577c315";"Modellbau"
"l2:7d7d5732fdb6ae229c1f89612da51998";"l1:ccdc08fe15cb32b2db2a76145577c315";"Spiele & Puzzle"
"l2:3cb84030d9e49bea8521fdec130e760b";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Angeln"
"l2:995132561fd2e1decca44c07fb0a534a";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Camping & Wandern"
"l2:afc11d20511062ac43a8f9ba59c13980";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Fitness"
"l2:f4d7b5e5bce6b398bbec052c6a7d913d";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Outdoor & Klettern"
"l2:88255560be27af022816bb2e174752ad";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Reiten"
"l2:48f93ce13165774db790cb2e2a0aaa2d";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Sportzubehör"
"l2:0e4f725353af2b3207736a4f411049fa";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Teamsport & Schlägersport"
"l2:76b939c2cb64bf9953c7dcdc836dec19";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Wassersport"
"l2:81fc31159a8680a30eda0c671c242808";"l1:2d95e1e17abc6c9afb85088671f65e3a";"Wintersport"
"l2:4082c6571875c14469d160e451d101da";"l1:7338fe1328fc2bfaa0f28c4a9134374e";"Aquaristik"
