"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"2032";"Aufnahmetische";"1";"15056"
"2034";"Aufsammelhilfen";"5";"15062"
"2035";"Aufstecksucher";"2";"15066"
"2036";"Augen-Kosmetika";"18";"15080"
"2037";"Augenbinden";"2";"15086"
"2038";"Augenmuscheln";"1";"15087"
"2039";"Augenpflegemittel";"21";"15102"
"2040";"Ausgießaufsätze";"3";"15111"
"2041";"Ausrichtwerkzeuge";"2";"15112"
"2050";"Außenbordmotoren";"1";"15148"
"2042";"Ausstechformen";"2";"15114"
"2043";"Automatik-Weinbelüfter";"1";"15116"
"2044";"Automatten";"9";"15118"
"2045";"Autorennbahn-Erweiterungen";"13";"15128"
"2046";"Autorennbahn-Fahrzeuge";"1";"15139"
"2047";"Autorennbahnen";"1";"15140"
"2048";"Autositzschutz";"5";"15144"
"2049";"Autosonnenschutzblenden";"2";"15147"
"3898";"Äxte";"6";"28835"
"2059";"Baby-Badesitze";"1";"15236"
"2060";"Babybetten";"5";"15237"
"2061";"Babykostwärmer";"3";"15242"
"2062";"Babyphones";"2";"15245"
"2063";"Babytragen";"5";"15251"
"2064";"Babywippen";"3";"15253"
"2065";"Bachläufe";"2";"15256"
"2066";"Backbleche";"32";"15288"
"2068";"Backöfen";"5";"15293"
"2067";"Backunterlagen";"3";"15289"
"2069";"Badaccessoires-Sets";"1";"15297"
"2070";"Badeanzüge";"7";"15298"
"2071";"Badebottiche";"1";"15305"
"2072";"Badehosen";"13";"15311"
"2073";"Badekappen";"3";"15320"
"2074";"Badematten";"7";"15322"
"2075";"Badewannen";"7";"15333"
"2076";"Badewannenbretter";"3";"15338"
"2077";"Badewannensitze";"6";"15340"
"2078";"Bagger";"2";"15346"
"2079";"Balancetrainer";"11";"15356"
"2080";"Balkonkastenhalter";"1";"15358"
"2213";"Bälle";"47";"16268"
"2214";"Bällebäder";"1";"16270"
"2081";"Ballmaschinen";"2";"15360"
"2082";"Ballrückgabesysteme";"1";"15361"
"2083";"Ballschalen";"1";"15362"
"2084";"Ballschleuder";"2";"15363"
"2085";"Ballsportkörbe";"2";"15366"
"2086";"Ballwände";"2";"15367"
"2087";"Bandagen";"44";"15396"
"2088";"Bandmassagegeräte";"1";"15413"
"2089";"Banknotenzähler";"1";"15414"
"2090";"Barista-Sets";"4";"15417"
"2091";"Bartpflegemittel";"13";"15429"
"2092";"Bartstylingmittel";"6";"15434"
"2093";"Baseballschläger";"2";"15438"
"2094";"Bastelbänder";"20";"15447"
"2095";"Basteldekorationen";"19";"15478"
"2096";"Bastelgrundmaterialien";"13";"15487"
"2097";"Batteriegriffe";"1";"15492"
"2098";"Batterien";"4";"15493"
"2099";"Batteriewächter";"2";"15498"
"2100";"Bauchbänder";"2";"15499"
"2101";"Bauchketten";"4";"15503"
"2102";"Bauchtrainer";"4";"15505"
"2103";"Baufolien";"11";"15515"
"2104";"Bauketten";"8";"15521"
"2105";"Baumpflegemittel";"4";"15530"
"2106";"Bauplatten";"13";"15536"
"2107";"Baustangen";"3";"15546"
"2108";"Bausteine";"14";"15548"
"2109";"Beamer";"10";"15568"
"2110";"Beckenbodentrainer";"1";"15572"
"2111";"Beeteinfassungen";"4";"15573"
"2112";"Befestigungen";"43";"15606"
"2113";"Befestigungsadapter";"2";"15620"
"2114";"Behandlungsliegen";"1";"15622"
"2115";"Beintrainer";"3";"15623"
"2117";"Beißringe";"1";"15632"
"2116";"Beitel";"6";"15626"
"2118";"Bekleidungssets";"1";"15633"
"2119";"Belagstrukturgeräte";"1";"15634"
"2120";"Belichtungsmesser";"1";"15635"
"2121";"Belüftungsausströmer";"2";"15636"
"2122";"Belüftungspumpen";"2";"15639"
"2123";"Beregnungsanlagen";"1";"15640"
"2124";"Besaitungsmaschinen";"1";"15641"
"2125";"Beschläge";"25";"15662"
"2126";"Beschriftungsbänder";"1";"15667"
"2127";"Beschriftungsgeräte";"1";"15668"
"2128";"Beschwerungsgewichte";"11";"15676"
"2129";"Bespannungshärtemessgeräte";"1";"15680"
"2130";"Bestattungsbehälter";"3";"15681"
"2131";"Besteckkörbe";"3";"15684"
"2145";"Betätigungsplatten";"2";"15796"
"2132";"Betonglätter";"1";"15687"
"2133";"Betonmischer";"1";"15688"
"2134";"Betonverdichter";"3";"15690"
"2135";"Bettbezüge";"3";"15694"
"2136";"Bettdecken";"16";"15708"
"2137";"Betten";"25";"15711"
"2138";"Betthimmel";"1";"15736"
"2139";"Bettlaken";"4";"15738"
"2140";"Bettnestchen";"5";"15741"
"2141";"Bettumrandungen";"3";"15747"
"2142";"Bettwaren-Sets";"39";"15785"
"2143";"Bettwarenzubehör";"1";"15788"
"2144";"Bettwäsche";"6";"15793"
"2146";"Bewässerungs-Sets";"5";"15798"
"2147";"Bewässerungscomputer";"5";"15806"
"2148";"Bewässerungskugeln";"2";"15807"
"2051";"BH-Bügel";"1";"15149"
"2052";"BH-Einlagen";"2";"15151"
"2053";"BH-Sets";"37";"15155"
"2054";"BH-Träger";"2";"15190"
"2055";"BH-Trägerclips";"2";"15192"
"2056";"BH-Trägerkissen";"1";"15193"
"2057";"BH-Verlängerungen";"2";"15194"
"2058";"BHs";"40";"15201"
